node,x_pos,y_pos,type
1,-1,7,source
2,0,14,intermediate
3,0,13,intermediate
4,0,12,intermediate
5,0,11,intermediate
6,0,10,intermediate
7,0,9,intermediate
8,0,8,intermediate
9,0,7,intermediate
10,0,6,intermediate
11,0,5,intermediate
12,0,4,intermediate
13,0,3,intermediate
14,0,2,intermediate
15,0,1,intermediate
16,0,0,intermediate
17,1,14,intermediate
18,1,13,intermediate
19,1,12,intermediate
20,1,11,intermediate
21,1,10,intermediate
22,1,9,intermediate
23,1,8,intermediate
24,1,7,intermediate
25,1,6,intermediate
26,1,5,intermediate
27,1,4,intermediate
28,1,3,intermediate
29,1,2,intermediate
30,1,1,intermediate
31,1,0,intermediate
32,2,14,intermediate
33,2,13,intermediate
34,2,12,intermediate
35,2,11,intermediate
36,2,10,intermediate
37,2,9,intermediate
38,2,8,intermediate
39,2,7,intermediate
40,2,6,intermediate
41,2,5,intermediate
42,2,4,intermediate
43,2,3,intermediate
44,2,2,intermediate
45,2,1,intermediate
46,2,0,intermediate
47,3,14,intermediate
48,3,13,intermediate
49,3,12,intermediate
50,3,11,intermediate
51,3,10,intermediate
52,3,9,intermediate
53,3,8,intermediate
54,3,7,intermediate
55,3,6,intermediate
56,3,5,intermediate
57,3,4,intermediate
58,3,3,intermediate
59,3,2,intermediate
60,3,1,intermediate
61,3,0,intermediate
62,4,14,intermediate
63,4,13,intermediate
64,4,12,intermediate
65,4,11,intermediate
66,4,10,intermediate
67,4,9,intermediate
68,4,8,intermediate
69,4,7,intermediate
70,4,6,intermediate
71,4,5,intermediate
72,4,4,intermediate
73,4,3,intermediate
74,4,2,intermediate
75,4,1,intermediate
76,4,0,intermediate
77,5,14,intermediate
78,5,13,intermediate
79,5,12,intermediate
80,5,11,intermediate
81,5,10,intermediate
82,5,9,intermediate
83,5,8,intermediate
84,5,7,intermediate
85,5,6,intermediate
86,5,5,intermediate
87,5,4,intermediate
88,5,3,intermediate
89,5,2,intermediate
90,5,1,intermediate
91,5,0,intermediate
92,6,14,intermediate
93,6,13,intermediate
94,6,12,intermediate
95,6,11,intermediate
96,6,10,intermediate
97,6,9,intermediate
98,6,8,intermediate
99,6,7,intermediate
100,6,6,intermediate
101,6,5,intermediate
102,6,4,intermediate
103,6,3,intermediate
104,6,2,intermediate
105,6,1,intermediate
106,6,0,intermediate
107,7,14,intermediate
108,7,13,intermediate
109,7,12,intermediate
110,7,11,intermediate
111,7,10,intermediate
112,7,9,intermediate
113,7,8,intermediate
114,7,7,intermediate
115,7,6,intermediate
116,7,5,intermediate
117,7,4,intermediate
118,7,3,intermediate
119,7,2,intermediate
120,7,1,intermediate
121,7,0,intermediate
122,8,14,intermediate
123,8,13,intermediate
124,8,12,intermediate
125,8,11,intermediate
126,8,10,intermediate
127,8,9,intermediate
128,8,8,intermediate
129,8,7,intermediate
130,8,6,intermediate
131,8,5,intermediate
132,8,4,intermediate
133,8,3,intermediate
134,8,2,intermediate
135,8,1,intermediate
136,8,0,intermediate
137,9,14,intermediate
138,9,13,intermediate
139,9,12,intermediate
140,9,11,intermediate
141,9,10,intermediate
142,9,9,intermediate
143,9,8,intermediate
144,9,7,intermediate
145,9,6,intermediate
146,9,5,intermediate
147,9,4,intermediate
148,9,3,intermediate
149,9,2,intermediate
150,9,1,intermediate
151,9,0,intermediate
152,10,14,intermediate
153,10,13,intermediate
154,10,12,intermediate
155,10,11,intermediate
156,10,10,intermediate
157,10,9,intermediate
158,10,8,intermediate
159,10,7,intermediate
160,10,6,intermediate
161,10,5,intermediate
162,10,4,intermediate
163,10,3,intermediate
164,10,2,intermediate
165,10,1,intermediate
166,10,0,intermediate
167,11,14,intermediate
168,11,13,intermediate
169,11,12,intermediate
170,11,11,intermediate
171,11,10,intermediate
172,11,9,intermediate
173,11,8,intermediate
174,11,7,intermediate
175,11,6,intermediate
176,11,5,intermediate
177,11,4,intermediate
178,11,3,intermediate
179,11,2,intermediate
180,11,1,intermediate
181,11,0,intermediate
182,12,14,intermediate
183,12,13,intermediate
184,12,12,intermediate
185,12,11,intermediate
186,12,10,intermediate
187,12,9,intermediate
188,12,8,intermediate
189,12,7,intermediate
190,12,6,intermediate
191,12,5,intermediate
192,12,4,intermediate
193,12,3,intermediate
194,12,2,intermediate
195,12,1,intermediate
196,12,0,intermediate
197,13,14,intermediate
198,13,13,intermediate
199,13,12,intermediate
200,13,11,intermediate
201,13,10,intermediate
202,13,9,intermediate
203,13,8,intermediate
204,13,7,intermediate
205,13,6,intermediate
206,13,5,intermediate
207,13,4,intermediate
208,13,3,intermediate
209,13,2,intermediate
210,13,1,intermediate
211,13,0,intermediate
212,14,14,intermediate
213,14,13,intermediate
214,14,12,intermediate
215,14,11,intermediate
216,14,10,intermediate
217,14,9,intermediate
218,14,8,intermediate
219,14,7,intermediate
220,14,6,intermediate
221,14,5,intermediate
222,14,4,intermediate
223,14,3,intermediate
224,14,2,intermediate
225,14,1,intermediate
226,14,0,intermediate
250,15,7,sink
