node,x_pos,y_pos,type
1,-1,2,source
2,0,4,intermediate
3,0,3,intermediate
4,0,2,intermediate
5,0,1,intermediate
6,0,0,intermediate
7,1,4,intermediate
8,1,3,intermediate
9,1,2,intermediate
10,1,1,intermediate
11,1,0,intermediate
12,2,4,intermediate
13,2,3,intermediate
14,2,2,intermediate
15,2,1,intermediate
16,2,0,intermediate
17,3,4,intermediate
18,3,3,intermediate
19,3,2,intermediate
20,3,1,intermediate
21,3,0,intermediate
22,4,4,intermediate
23,4,3,intermediate
24,4,2,intermediate
25,4,1,intermediate
26,4,0,intermediate
250,5,2,sink
