node,x_pos,y_pos,type
1,-1,4.5,source
2,0,9,intermediate
3,0,8,intermediate
4,0,7,intermediate
5,0,6,intermediate
6,0,5,intermediate
7,0,4,intermediate
8,0,3,intermediate
9,0,2,intermediate
10,0,1,intermediate
11,0,0,intermediate
12,1,9,intermediate
13,1,8,intermediate
14,1,7,intermediate
15,1,6,intermediate
16,1,5,intermediate
17,1,4,intermediate
18,1,3,intermediate
19,1,2,intermediate
20,1,1,intermediate
21,1,0,intermediate
22,2,9,intermediate
23,2,8,intermediate
24,2,7,intermediate
25,2,6,intermediate
26,2,5,intermediate
27,2,4,intermediate
28,2,3,intermediate
29,2,2,intermediate
30,2,1,intermediate
31,2,0,intermediate
32,3,9,intermediate
33,3,8,intermediate
34,3,7,intermediate
35,3,6,intermediate
36,3,5,intermediate
37,3,4,intermediate
38,3,3,intermediate
39,3,2,intermediate
40,3,1,intermediate
41,3,0,intermediate
42,4,9,intermediate
43,4,8,intermediate
44,4,7,intermediate
45,4,6,intermediate
46,4,5,intermediate
47,4,4,intermediate
48,4,3,intermediate
49,4,2,intermediate
50,4,1,intermediate
51,4,0,intermediate
52,5,9,intermediate
53,5,8,intermediate
54,5,7,intermediate
55,5,6,intermediate
56,5,5,intermediate
57,5,4,intermediate
58,5,3,intermediate
59,5,2,intermediate
60,5,1,intermediate
61,5,0,intermediate
62,6,9,intermediate
63,6,8,intermediate
64,6,7,intermediate
65,6,6,intermediate
66,6,5,intermediate
67,6,4,intermediate
68,6,3,intermediate
69,6,2,intermediate
70,6,1,intermediate
71,6,0,intermediate
72,7,9,intermediate
73,7,8,intermediate
74,7,7,intermediate
75,7,6,intermediate
76,7,5,intermediate
77,7,4,intermediate
78,7,3,intermediate
79,7,2,intermediate
80,7,1,intermediate
81,7,0,intermediate
82,8,9,intermediate
83,8,8,intermediate
84,8,7,intermediate
85,8,6,intermediate
86,8,5,intermediate
87,8,4,intermediate
88,8,3,intermediate
89,8,2,intermediate
90,8,1,intermediate
91,8,0,intermediate
92,9,9,intermediate
93,9,8,intermediate
94,9,7,intermediate
95,9,6,intermediate
96,9,5,intermediate
97,9,4,intermediate
98,9,3,intermediate
99,9,2,intermediate
100,9,1,intermediate
101,9,0,intermediate
250,10,4.5,sink
